Composition,Actual_EFA
(CrHfMoNbTaW)C6,20.875
(CrMoNbTaTiV)C6,77.566
(HfMoNbTaTiZr)C6,73.6275
(CrHfMoNbVW)C6,20.848
(HfMoNbTaVW)C6,77.423
(HfNbTaTiVZr)C6,85.0957
(MoNbTaTiVW)C6,76.297
(HfMoNbTaTiZr)C6,73.627
(HfMoNbScTaTi)C6,41.646
(NbScTaTiVW)C6,38.321
(NbScTaTiYZr)C6,30.9125
(HfNbScTaTiW)C6,35.909
(NbScTaTiVZr)C6,45.83
(HfScNbVWY)C6,23.121
(MoNbScVWY)C6,21.662
(NbReScVWY)C6,18.613
(NbScVWYZr)C6,22.696
(HfScVWYZr)C6,23.889
(HfNbVWYZr)C6,31.183
(CrNbTaWYZr)C6,12.22
(CrNbVWYZr)C6,7.846
(MoNbVWYZr)C6,29.006
(MoNbTaTiWY)C6,33.263
